from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id,from_trip_id,to_trip_id
ch:1:sloid:1401637:0:710042,ch:1:sloid:1401637:0:919356,2,120,,,,
ch:1:sloid:1401637:0:150674,ch:1:sloid:1401637:0:710042,2,120,,,,
ch:1:sloid:1401637:0:150674,ch:1:sloid:1401637:0:919356,2,120,,,,
ch:1:sloid:1401637:0:919356,ch:1:sloid:1401637:0:710042,2,120,,,,
ch:1:sloid:1401637:0:919356,ch:1:sloid:1401637:0:150674,2,120,,,,
ch:1:sloid:88196:0:197814,ch:1:sloid:88196:0:298367,2,120,,,,
ch:1:sloid:88196:0:197814,ch:1:sloid:88196:0:555874,2,240,,,,
ch:1:sloid:88196:0:197814,ch:1:sloid:88196:0:442918,2,180,,,,
ch:1:sloid:88196:0:298367,ch:1:sloid:88196:0:197814,2,120,,,,
ch:1:sloid:88196:0:298367,ch:1:sloid:88196:0:555874,2,180,,,,
ch:1:sloid:88196:0:298367,ch:1:sloid:88196:0:442918,2,120,,,,
ch:1:sloid:88196:0:555874,ch:1:sloid:88196:0:197814,2,240,,,,
ch:1:sloid:88196:0:555874,ch:1:sloid:88196:0:298367,2,180,,,,
ch:1:sloid:88196:0:555874,ch:1:sloid:88196:0:442918,2,120,,,,
ch:1:sloid:88196:0:442918,ch:1:sloid:88196:0:197814,2,180,,,,
ch:1:sloid:88196:0:442918,ch:1:sloid:88196:0:298367,2,120,,,,
ch:1:sloid:88196:0:442918,ch:1:sloid:88196:0:555874,2,120,,,,
ch:1:sloid:1401795:0:67905,ch:1:sloid:1401795:0:161118,2,120,,,,
ch:1:sloid:1401795:0:161118,ch:1:sloid:1401795:0:67905,2,120,,,,
ch:1:sloid:93050:0:3874,ch:1:sloid:93050:0:83827,2,120,,,,
ch:1:sloid:93050:0:83827,ch:1:sloid:93050:0:3874,2,120,,,,
ch:1:sloid:92935:0:221497,ch:1:sloid:92935:0:514240,2,120,,,,
ch:1:sloid:92935:0:514240,ch:1:sloid:92935:0:221497,2,120,,,,
ch:1:sloid:92669:0:234639,ch:1:sloid:92669:0:57042,2,120,,,,
ch:1:sloid:92669:0:234639,ch:1:sloid:92669:0:241732,2,120,,,,
ch:1:sloid:92669:0:57042,ch:1:sloid:92669:0:234639,2,120,,,,
ch:1:sloid:92669:0:57042,ch:1:sloid:92669:0:241732,2,120,,,,
ch:1:sloid:92669:0:241732,ch:1:sloid:92669:0:234639,2,120,,,,
ch:1:sloid:92669:0:241732,ch:1:sloid:92669:0:57042,2,120,,,,
ch:1:sloid:92779:0:268432,ch:1:sloid:92779:0:935484,2,180,,,,
ch:1:sloid:92779:0:268432,ch:1:sloid:92779:0:38284,2,180,,,,
ch:1:sloid:92779:0:268432,ch:1:sloid:92779:0:724258,2,240,,,,
ch:1:sloid:92779:0:935484,ch:1:sloid:92779:0:268432,2,180,,,,
ch:1:sloid:92779:0:935484,ch:1:sloid:92779:0:38284,2,120,,,,
ch:1:sloid:92779:0:935484,ch:1:sloid:92779:0:724258,2,180,,,,
