stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code,stop_timezone_header
0100537_N,,Corsinge-Village,,46.2403050,6.24459200,,,0,S0100537,N,
ch:1:sloid:87054:0:12889,,"Meinier, Corsinge village",,46.2403050,6.24459200,,,0,S0100537,,
S0100538,,Corsinge-Village,,46.2404520,6.24488700,,,1,,,
0100538_O,,Corsinge-Village,,46.2404520,6.24488700,,,0,S0100538,O,
ch:1:sloid:87054:0:137500,,"Meinier, Corsinge village",,46.2404520,6.24488700,,,0,S0100538,,
S0100539,,Ch. du Paradis,,46.2133400,6.02309000,,,1,,,
0100539_T,,Ch. du Paradis,,46.2133400,6.02309000,,,0,S0100539,T,
ch:1:sloid:93094:0:242196,,"Satigny, Chemin du Paradis",,46.2133400,6.02309000,,,0,S0100539,,
S0100542,,La Chapelle,,46.1711460,6.13537400,,,1,,,
0100542_V,,La Chapelle,,46.1711460,6.13537400,,,0,S0100542,V,
ch:1:sloid:93060:0:793668,,"Grand-Lancy, La Chapelle",,46.1711460,6.13537400,,,0,S0100542,,
S0100543,,La Chapelle,,46.1710210,6.13548100,,,1,,,
0100543_W,,La Chapelle,,46.1710210,6.13548100,,,0,S0100543,W,
ch:1:sloid:93060:0:305373,,"Grand-Lancy, La Chapelle",,46.1710210,6.13548100,,,0,S0100543,,
S0100546,,Chantepoulet,,46.2082170,6.14358400,,,1,,,
0100546_Q,,Chantepoulet,,46.2082170,6.14358400,,,0,S0100546,Q,
ch:1:sloid:92801:0:413027,,"Genève, Chantepoulet",,46.2082170,6.14358400,,,0,S0100546,,
S0100547,,Compois,,46.2396060,6.23554400,,,1,,,
0100547_P,,Compois,,46.2396060,6.23554400,,,0,S0100547,P,
ch:1:sloid:92999:0:434779,,"Meinier, Compois",,46.2396060,6.23554400,,,0,S0100547,,
S0100549,,Courbes,,46.2810380,6.22737500,,,1,,,
0100549_W,,Courbes,,46.2810380,6.22737500,,,0,S0100549,W,
ch:1:sloid:92623:0:538191,,"Anières, Courbes",,46.2810380,6.22737500,,,0,S0100549,,
S0100550,,Courbes,,46.2806200,6.22693000,,,1,,,
0100550_X,,Courbes,,46.2806200,6.22693000,,,0,S0100550,X,
ch:1:sloid:92623:0:269926,,"Anières, Courbes",,46.2806200,6.22693000,,,0,S0100550,,
E0100551,,"Confignon, croisée",,46.1787040,6.08942800,,,2,S8587386,,
0100551,,"Confignon, croisée",,46.1787040,6.08942800,,,0,,,
S8587386,,"Confignon, croisée",,46.1787040,6.08942800,,,1,,,
S0100551,,Confignon-Croisée,,46.1780720,6.08849200,,,1,,,
0100551_C,,Confignon-Croisée,,46.1780720,6.08849200,,,0,S0100551,C,
ch:1:sloid:87386:0:530792,,"Confignon, croisée",,46.1780720,6.08849200,,,0,S0100551,,
S0100553,,Croix-en-Champagne,,46.1722210,6.03363700,,,1,,,
0100553_O,,Croix-en-Champagne,,46.1722210,6.03363700,,,0,S0100553,O,
ch:1:sloid:92684:0:232625,,"Cartigny, Croix-en-Champagne",,46.1722210,6.03363700,,,0,S0100553,,
S0100554,,Croix-en-Champagne,,46.1721960,6.03306800,,,1,,,
0100554_P,,Croix-en-Champagne,,46.1721960,6.03306800,,,0,S0100554,P,
ch:1:sloid:92684:0:724764,,"Cartigny, Croix-en-Champagne",,46.1721960,6.03306800,,,0,S0100554,,
E0100555,,"Confignon, croisée",,46.1787040,6.08942800,,,2,S8587386,,
0100555,,"Confignon, croisée",,46.1787040,6.08942800,,,0,,,
S0100555,,Confignon-Croisée,,46.1786620,6.08897000,,,1,,,
0100555_B,,Confignon-Croisée,,46.1786620,6.08897000,,,0,S0100555,B,
ch:1:sloid:87386:0:838490,,"Confignon, croisée",,46.1786620,6.08897000,,,0,S0100555,,
E0100556,,"Confignon, croisée",,46.1787040,6.08942800,,,2,S8587386,,
0100556,,"Confignon, croisée",,46.1787040,6.08942800,,,0,,,
S0100556,,Confignon-Croisée,,46.1788340,6.08976800,,,1,,,
0100556_A,,Confignon-Croisée,,46.1788340,6.08976800,,,0,S0100556,A,
ch:1:sloid:87386:0:518914,,"Confignon, croisée",,46.1788340,6.08976800,,,0,S0100556,,
E0100558,,"Confignon, croisée",,46.1787040,6.08942800,,,2,S8587386,,
0100558,,"Confignon, croisée",,46.1787040,6.08942800,,,0,,,
S0100558,,Confignon-Croisée,,46.1783300,6.08825300,,,1,,,
0100558_E,,Confignon-Croisée,,46.1783300,6.08825300,,,0,S0100558,E,
ch:1:sloid:87386:0:534919,,"Confignon, croisée",,46.1783300,6.08825300,,,0,S0100558,,
E0100559,,"Confignon, croisée",,46.1787040,6.08942800,,,2,S8587386,,
0100559,,"Confignon, croisée",,46.1787040,6.08942800,,,0,,,
S0100559,,Confignon-Croisée,,46.1786340,6.08806400,,,1,,,
0100559_F,,Confignon-Croisée,,46.1786340,6.08806400,,,0,S0100559,F,
